entities.name,countries.name,entities.short_name,European_Political_Group,spend
S.O.S. România,Romania,SOS,uncertain,0
"SDP, Centar, HSS, DO i SIP, Glas (u 7. jedinici)",Croatia,SDP et al (u 7. jedinici),S&D,0
"SDP, Centar, HSS, DO i SIP, Reformisti, Glas",Croatia,SDP et al,S&D,0
"Socijaldemokrati, IDS, PGS, Laburisti, Demokrati",Croatia,Socijaldemokrati et al,S&D,0
Stram Kurs,Denmark,Str,ID,0
Tautos ir teisingumo sąjunga,Lithuania,TTS,uncertain,0
Trikolora,Czechia,TRI,uncertain,0
Unión del Pueblo Navarro,Spain,UPN,EPP,0
ĽSNS,Slovakia,LSNS,ID,0
Κομμουνιστικό Κόμμα Ελλάδος,Greece,KKE,GUE/NGL,0
ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ,Greece,ΠΕ,uncertain,0
